               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064621,            0.069688,             0.11694,             0.26144,             0.10566,           0.0070641,           0.0035764,            0.042755,              0.0516,             0.10331,           0.0033302,           0.0033302,            0.070028
                   1,            0.050752,            0.059217,              0.1003,            0.035096,             0.12338,            0.010788,           0.0065872,            0.034102,            0.049009,             0.09863,           0.0066634,           0.0066634,            0.040028
                   2,            0.046321,            0.057798,            0.095938,             0.92654,            0.021377,            0.015369,           0.0095569,            0.035619,            0.050643,            0.095045,           0.0099965,           0.0099965,            0.010028
                   3,            0.039965,             0.05454,            0.090584,             0.92547,            0.037877,             0.02486,            0.016847,             0.02997,            0.046793,            0.088088,           0.0099992,           0.0099992,           0.0099992
                   4,            0.035577,            0.050262,            0.084052,             0.84272,            0.070648,             0.03416,             0.02452,            0.028658,            0.046159,            0.082348,           0.0099992,           0.0099992,           0.0099992
                   5,            0.034112,            0.048693,            0.078141,             0.89097,            0.061466,            0.051652,            0.037017,            0.028969,            0.045317,            0.076843,           0.0099986,           0.0099986,           0.0099986
                   6,            0.032694,            0.047037,            0.072229,             0.88462,            0.075189,             0.06532,            0.048765,            0.027608,             0.04464,             0.07203,           0.0099978,           0.0099978,           0.0099978
                   7,            0.032177,            0.046179,            0.066776,             0.89248,             0.07873,            0.077436,            0.056768,            0.028217,            0.044845,            0.067202,           0.0099968,           0.0099968,           0.0099968
                   8,            0.031777,            0.045898,            0.062343,             0.89444,            0.088587,            0.092092,            0.067923,            0.027598,            0.044762,            0.062258,           0.0099956,           0.0099956,           0.0099956
                   9,            0.031637,            0.045352,            0.057974,              0.8855,            0.097914,             0.10241,            0.074547,            0.028028,            0.044761,            0.059816,           0.0099943,           0.0099943,           0.0099943
                  10,            0.031572,            0.045244,             0.05467,             0.89739,            0.099676,             0.11145,            0.083506,            0.027258,            0.044902,            0.057176,           0.0099928,           0.0099928,           0.0099928
                  11,            0.030992,            0.044252,             0.05195,             0.88445,             0.10402,             0.11844,            0.089096,            0.027141,             0.04479,            0.055781,           0.0099911,           0.0099911,           0.0099911
                  12,            0.030702,            0.044026,            0.049055,             0.89559,             0.10474,             0.12738,            0.096198,            0.027399,            0.045833,            0.054002,           0.0099893,           0.0099893,           0.0099893
                  13,            0.030676,            0.044076,             0.04705,             0.88906,             0.12051,             0.14269,             0.10858,            0.027379,            0.044957,            0.053062,           0.0099872,           0.0099872,           0.0099872
                  14,            0.030465,            0.043377,             0.04547,             0.90819,             0.11443,              0.1493,             0.11362,            0.027334,            0.044933,            0.051528,            0.009985,            0.009985,            0.009985
